,trip_id,route_id,route_type,start_time,start_lat,start_lon,end_time,end_lat,end_lon,duration,operator,bearing
13442,653,Central Line,rail,2017-06-05 00:00:00,19.1860408,72.9758837,2017-06-05 00:04:00,19.1953173,72.9967104,240.0,rail,64.7504078463
10265,532,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 10:03:00,19.0172909,72.8434865,36180.0,rail,34.3546197251
10261,532,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 09:57:00,18.9766017,72.8326658,35820.0,rail,337.912203953
10237,530,Central Line,rail,2017-06-05 00:00:00,19.1546597,72.9466564,2017-06-05 10:10:00,19.1565109,72.9637728,36600.0,rail,83.4684783697
10235,530,Central Line,rail,2017-06-05 00:00:00,19.1282039,72.928065,2017-06-05 10:05:00,19.1423572,72.9377517,36300.0,rail,32.8865926418
10360,537,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 10:41:00,19.0172909,72.8434865,38460.0,rail,34.3546197251
10232,530,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 10:00:00,19.0856491,72.9082207,36000.0,rail,59.8153286205
10363,537,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 10:49:00,19.0655986,72.8791535,38940.0,rail,38.3921476834
10368,537,Central Line,rail,2017-06-05 00:00:00,19.1282039,72.928065,2017-06-05 10:59:00,19.1423572,72.9377517,39540.0,rail,32.8865926418
13397,652,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 17:07:00,18.9766017,72.8326658,61620.0,rail,337.912203953
13401,652,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 17:13:00,19.0172909,72.8434865,61980.0,rail,34.3546197251
13404,652,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 17:21:00,19.0655986,72.8791535,62460.0,rail,38.3921476834
13406,652,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 17:26:00,19.0856491,72.9082207,62760.0,rail,59.8153286205
13412,652,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 17:40:00,19.1860408,72.9758837,63600.0,rail,21.1752874688
13417,652,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 17:53:00,19.218328,73.0868268,64380.0,rail,31.7560321231
13419,652,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 18:02:00,19.2354082,73.131024,64920.0,rail,73.1551489459
16422,747,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 18:27:00,18.9766017,72.8326658,66420.0,rail,337.912203953
12534,622,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 07:12:00,19.0655986,72.8791535,25920.0,rail,38.3921476834
16426,747,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 18:34:00,19.0172909,72.8434865,66840.0,rail,34.3546197251
16431,747,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 18:47:00,19.0856491,72.9082207,67620.0,rail,59.8153286205
14646,691,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 19:26:00,19.2354082,73.131024,69960.0,rail,73.1551489459
12634,625,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 09:43:00,19.218328,73.0868268,34980.0,rail,31.7560321231
15783,727,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 19:51:00,19.0655986,72.8791535,71460.0,rail,38.3921476834
